id,category,question_example,language,frequency_pct,recommended_answer,system_action
1,Локация и адрес,"Где вы находитесь? На какой улице?",RU,16%,"Студия массажа TOCHKA расположена в центре Батуми: ул. Лука Асатиани, 46 (5-7 минут от площади Европы и бульвара). Доступна парковка рядом со студией.","Отправка ссылки на Google Maps и контактов"
2,Локация и адрес,"Your place close to the Radisson hotel / Which street?",EN,8%,"Yes, TOCHKA Studio is located in central Batumi at 46 Luka Asatiani St, about 5-7 minutes walk from Radisson Blu and Europe Square.","Send Google Maps link"
3,Локация и адрес,"Mdebareoba sadaa? / სად მდებარეობს სალონი?",GE,6%,"სტუდია TOCHKA მდებარეობს ბათუმის ცენტრში: ლუკა ასათიანის ქუჩა 46 (ევროპის მოედნიდან 5 წუთის სავალზე).","Google Maps ლინკის გაგზავნა"
4,Стоимость и виды массажа,"Сколько стоит массаж и какие виды есть?",RU,14%,"В меню 4 ритуала: 1) Классический (120 GEL / 60 мин, 170 GEL / 90 мин); 2) Расслабляющий (120 GEL / 170 GEL); 3) Спортивный Deep Tissue (140 GEL / 190 GEL); 4) Лимфодренажный (130 GEL / 180 GEL).","Показ прайс-листа и предложение записи"
5,Стоимость и виды массажа,"Hi, can you give me details and prices for massage?",EN,8%,"We offer 4 rituals: Classic (120 GEL/60min, 170 GEL/90min), Relaxing (120/170 GEL), Deep Tissue Sports (140/190 GEL), Lymphatic Drainage (130/180 GEL). 2-hour sessions are available upon request (230 GEL).","Show pricing & prompt date selection"
6,Стоимость и виды массажа,"რა ღირს მასაჟი თქვენთან?",GE,6%,"კლასიკური/რელაქს მასაჟი: 120 GEL (60 წთ) / 170 GEL (90 წთ); სპორტული (Deep Tissue): 140 GEL / 190 GEL; ლიმფოდრენაჟული: 130 GEL / 180 GEL.","ფასების გაგზავნა"
7,Длительность сеанса,"Можно ли сделать массаж на 2 часа? (Its ok to do 2 h massage?)",RU/EN,5%,"Да, 2-часовой расширенный сеанс глубокой проработки всего тела возможен по предварительной записи. Стоимость — 230 GEL.","Проверка слота на 120 минут"
8,Свободные слоты и бронь,"Есть ли свободное окошко на завтра после 17:00 / на сегодня?",RU,12%,"На выбранную дату доступны слоты: 18:00, 19:30, 21:00. На какое время вас записать?","Проверка свободных слотов в БД"
9,Свободные слоты и бронь,"I arrive on Wednesday, I need a good massage. Can I book in advance?",EN,5%,"Sure! We will gladly book Wednesday for you. Please let us know your preferred time (12:00, 15:00, 18:00, 21:00) and your name.","Бронирование под дату прилета"
10,Кто мастер и приватность,"Кто делает массаж? Сколько у вас мастеров в студии?",RU,7%,"Все сеансы проводит лично основатель Анна Колосова по авторской технике непрерывного контакта. Других мастеров в салоне нет, что гарантирует 100% приватность.","Консультация о мастере"
11,Парный массаж,"Можно ли прийти вдвоем с мужем/подругой одновременно на парный массаж?",RU,4%,"В студии работает один ведущий мастер, поэтому сеансы проводятся последовательно (друг за другом). Одновременный параллельный массаж не проводится.","Предложение двух последовательных слотов"
12,Для кого массаж,"Массаж только для женщин или для мужчин тоже? (მასაჟი მხოლოდ ქალებისთვისაა?)",RU/GE,5%,"Студия TOCHKA принимает как мужчин, так и женщин. Все сеансы носят исключительно оздоровительный и релаксационный характер.","Подтверждение и запись"
13,Стеснение и одежда,"Нужно ли полностью раздеваться на массаже?",RU,4%,"Нет, полностью раздеваться не нужно. Вы остаетесь в своем нижнем белье или в одноразовом комплекте. Всё тело во время массажа укрыто простыней, открыта только массируемая зона.","Снятие психологического барьера"
14,Душ и подготовка,"Есть ли душ и нужно ли что-то брать с собой?",RU,3%,"С собой брать ничего не нужно — студия предоставляет полотенца, одноразовое белье, тапочки и душевые принадлежности. Душ доступен до и после массажа.","Информирование об удобствах"
15,Скидки и акции,"Есть ли скидки для новых гостей?",RU,5%,"Да! Для новых клиентов действует скидка 10% на первый визит по промокоду FIRST10, а также скидка 20% на каждый 5-й сеанс в студии.","Применение промокода в заказе"
16,Подарочные сертификаты,"Хочу подарить массаж на день рождения, есть ли сертификаты?",RU,4%,"Да! Доступны стильные электронные сертификаты в PDF (отправляем в WhatsApp) и премиальные физические в конверте на любую услугу или сумму.","Ссылка на покупку сертификата"
17,Здоровье и противопоказания,"Болит шея и поясница после перелета/сидячей работы, что выбрать?",RU,6%,"Рекомендуем Классический ритуал или Спортивный Deep Tissue для мягкого снятия спазмов и триггеров в воротниковой зоне и пояснице.","Подбор оптимального ритуала"
18,Здоровье и противопоказания,"У меня беременность / температура — можно ли на массаж?",RU,3%,"При температуре или признаках простуды массаж противопоказан. При беременности со 2-го триместра возможен мягкий релакс-массаж после согласования с врачом.","Проверка медицинских ограничений"
19,Недопустимый запрос,"Делаете ли вы эротический массаж / боди / массаж с окончанием?",RU,8%,"Категорически нет. Студия TOCHKA оказывает исключительно профессиональные оздоровительные услуги. Любые намеки на интим запрещены.","Строгий фильтр / вежливый отказ"
20,Способы оплаты,"Как можно оплатить услуги в Батуми?",RU,4%,"Принимаем наличные (GEL), переводы на карты грузинских банков (BoG, TBC), международные банковские карты и криптовалюту (USDT).","Информация о платежах"
